"LAB_ORIGID","LAB_PREFIX","LAB_FACLTY","CNTRY","LAB_ACTIVE","LAB_MTD","LAB_URL","LAB_SOURCE","CREATED_AT","UPDATED_AT"
240,"TUa","Trondheim (AMS)","NOR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
241,"TUNC","Tehran Univ. Nuclear Centre","IRN","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
242,"Tx","Texas","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
243,"u","Uppsala Univ.","SWE","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
244,"Ua","Uppsala AMS","SWE","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
245,"UB","Belfast","GBR","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
246,"UBA","Belfast","GBR","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
247,"UBAR","Univ. of Barcelona","ESP","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
248,"UCD","Univ. College, Dublin","IRL","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
249,"UCI","Univ. of California, Irvine","USA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
250,"UCLA","Univ. of California, Los Angeles","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
251,"UCR","Univ. of California, Riverside","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
252,"UD","Udine","ITA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
253,"UGa","Univ. of Georgia","USA","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
254,"UGRA","Univ. of Granada","ESP","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
255,"UL","Univ. of Laval","CAN","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
256,"ULA","Univ. of Laval","CAN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
257,"UM","Univ. of Miami","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
258,"UNAM","National Autonomous Univ. of Mexico","MEX","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
259,"UOC","Univ. of Ottawa","CAN","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
260,"UQ","Univ. of Quebec at Montreal","CAN","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
261,"URCRM","Ukrainian Research Ctr. for Radiation Medicine","UKR","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
262,"URU","Univ. of Uruguay","URY","","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
263,"USGS","USGS, Menlo Park","USA","false","C14","","Radiocarbon","2021-11-19 12:11:05.011 +0100",""
