UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,CREATED_AT,UPDATED_AT,COLL_SPEC
391,PAL00394,Redhead Lagoon F4c,REDF4C,5,21,111,,2,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
392,PAL00395,RNX-A RNX-B composite,RENNIXAB,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
393,PAL00396,Repongaere Swamp_core1,REPONG,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
394,PAL00397,Ringarooma Humus Site 1_core1,RINGAHUM1,14,40,110,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
395,PAL00398,Ringarooma Humus Site 2_core1,RINGAHUM2,14,40,110,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
396,PAL00399,Ringarooma River Site 1_core1,RINGA1,5,14,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
397,PAL00400,Ringarooma River Site 2_core1,RINGA2,5,14,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
398,PAL00401,Robertson Cave RC,ROBERTCV,5,7,110,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
399,PAL00402,Rock Arch Swamp_core1,ROCKARCH,5,-9999,-9999,,0.1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
400,PAL00403,RPR-Monolith,ROCKYP,14,40,84,13.12.21,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
401,PAL00404,Rollen Swamp core RS,ROLLENSWP,5,20,84,15.11.17,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
