"SMPAGEID","SAMPLEID","CHRONLGYID","AGE","AGEYOUNGER","AGEOLDER","CREATED_AT","UPDATED_AT"
3890,3751,84,2644,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3891,3751,85,2645,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3892,3753,84,2656,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3893,3753,85,2654,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3894,3755,84,2693,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3895,3755,85,2681,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3896,3757,84,2715,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3897,3757,85,2697,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3898,3759,84,2739,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3899,3759,85,2715,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3900,3761,84,2760,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3901,3761,85,2731,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3902,3763,84,2769,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3903,3763,85,2746,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3904,3765,84,2777,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3905,3765,85,2762,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3906,3767,84,2790,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3907,3767,85,2786,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3908,3769,84,2797,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3909,3769,85,2798,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3910,3771,84,2804,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3911,3771,85,2811,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3912,3773,84,2812,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3913,3773,85,2825,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3914,3775,84,2820,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3915,3775,85,2839,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3916,3777,84,2828,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3917,3777,85,2854,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3918,3779,84,2835,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3919,3779,85,2867,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3920,3781,84,2842,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3921,3781,85,2881,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3922,3783,84,2851,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3923,3783,85,2897,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3924,3785,84,2860,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3925,3785,85,2913,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3926,3787,84,2867,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3927,3787,85,2926,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3928,3789,84,2877,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3929,3789,85,2944,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3930,3791,84,2886,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3931,3791,85,2960,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3932,3793,84,2896,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3933,3793,85,2979,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3934,3795,84,2905,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3935,3795,85,2996,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3936,3797,84,2910,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3937,3797,85,3006,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3938,3799,84,2917,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3939,3799,85,3017,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3940,3801,84,2924,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3941,3801,85,3031,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3942,3803,84,2932,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3943,3803,85,3046,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3944,3805,84,2939,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3945,3805,85,3059,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3946,3807,84,2945,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3947,3807,85,3069,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3948,3809,84,2953,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3949,3809,85,3084,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3950,3811,84,2959,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3951,3811,85,3095,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3952,3813,84,2966,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3953,3813,85,3107,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3954,3815,84,2971,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3955,3815,85,3117,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3956,3817,84,2978,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3957,3817,85,3129,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3958,3819,84,2984,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3959,3819,85,3140,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3960,3821,84,2989,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3961,3821,85,3149,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3962,3823,84,2995,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3963,3823,85,3161,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3964,3825,84,3000,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3965,3825,85,3170,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3966,3827,84,3024,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3967,3827,85,3189,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3968,3829,84,3044,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3969,3829,85,3205,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3970,3831,84,3061,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3971,3831,85,3219,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3972,3833,84,3079,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3973,3833,85,3233,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3974,3835,84,3101,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3975,3835,85,3251,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3976,3837,84,3118,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3977,3837,85,3265,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3978,3839,84,3136,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3979,3839,85,3279,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3980,3841,84,3158,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
