OAID,AUTH,FORENAME,INITIALS,ORCID,SCOPUSID,WSCC_RESID,AUTH_COMMT,AUTH_URL,URL_DATE
OAID-001183,Kee,S.,S.,,,,,,
OAID-001184,Kefous,Keryn Christine,K. C.,,,,,,
OAID-001185,Kelly,Michael,M.,,,,,,
OAID-001186,Lambrides,Ariana B. J.,A. B. J.,0000-0002-7492-448X,55932745800,G-2067-2018,,,
OAID-001187,Lorblanchet,Michel,M.,,6508069699,,,,
OAID-001188,L'Oste-Brown,Scott,S.,,55257727400,,,,
OAID-001189,Mackenzie,Elspeth,E.,,,,,,
OAID-001190,Mahoney,J. A.,J. A.,,,,,,
OAID-001191,Mattner,J.,J.,,,,,,
OAID-001192,May,P.,P.,,,,,,
OAID-001193,Maynard,Lesley,L.,,,,,,
OAID-001194,McConnell,Kathleen,K.,,,,,,
OAID-001195,McDonald Hales & Associates (Corp.),,,,,,,,
OAID-001196,Mitchell,P. B.,P. B.,,,,,,
OAID-001197,Morrison,Michael,M.,0000-0003-3971-7829,52964138600,,,,
OAID-001198,Roberts,Georgia,G.,0000-0003-2369-1118,57189052991,,,,
OAID-001199,Thorn,Kailah M.,K. M.,0000-0002-0645-835X,57201506682,,,,
OAID-001200,Wright,Duncan,D.,0000-0003-2546-0559,57217692017,,,,
OAID-001201,Nagel,Texas,T.,0000-0002-8444-8771,56954604900,,ORCID unconfirmed,,
OAID-001202,Nolan,Anna,A.,,,,,,
OAID-001203,Oliver,E.,E.,,,,,,
OAID-001204,OzArk Cultural Heritage Management Pty Ltd (Corp.),,,,,,,https://ozarkehm.com.au,14.02.23
OAID-001205,Packard,,,,,,,,
OAID-001206,Peck,Helene,H.,,57237834100,,,,
OAID-001207,Porter,Jennifer K.,J. K.,,,,,,
OAID-001208,Quatermaine,G.,G.,,,,,,
OAID-001209,Rafter,T. Athol,T. A.,,23055765000,,,,
OAID-001210,Richards,Thomas Henry,T. H.,,,,,,
OAID-001211,Richardson,N.,N.,,,,,,
OAID-001212,Robertson,Sarah,S.,,,,,,
OAID-001213,Rowlands,Don,D.,,57217258599,,,,
OAID-001214,Shawcross,Wilfried,W.,,,,,,
OAID-001215,Shipton,Ceri,C.,,24778858900,,,,
OAID-001216,Simmons,Anthony,A.,,,,,,
OAID-001217,Smith,,,,,,,,
OAID-001218,Smith,Annette Deborah,A. D.,,,,,,
OAID-001219,Spry,Caroline,C.,0000-0002-8628-9348,57194201112,,,,
OAID-001220,Stevens,Robin,R.,,,,,,
OAID-001221,Strawbridge,L.,L.,,,,,,
OAID-001222,Tamers,Murry A.,M. A.,,7801559186,,,,
OAID-001223,Troilett,G.,G.,,,,,,
OAID-001224,Twaddle,Robin W.,Robin W.,,57189664058,,,,
OAID-001225,Vines,Gary,G.,,,,,,
OAID-001226,Vinnicombe,Patricia,P.,,57153106100,,,,
OAID-001227,Ward,W. T.,W. T.,,,,,,
OAID-001228,Westaway,Michael Carrington,M. C.,0000-0001-9378-9538,57202564941,,,,
OAID-001229,Westcott,Catherine,C.,,,,,,
OAID-001230,Westell,Craig,C.,0000-0003-2405-6861,57208186904,,,,
OAID-001231,Williams,,,,,,,,
OAID-001232,Draper,Neale,N.,0000-0003-2553-516X,7005349896,,,,
OAID-001233,Florek,Stan M.,S. M.,0000-0002-4204-930X,57212222608,,,,
OAID-001234,Hovingh,Ryan,R.,,,,,,
OAID-001235,Marun,Ljubomir H.,L. H.,,,,,,
OAID-001236,Rossi,Alana,A.,0000-0003-2663-6501,,,,,
OAID-001237,Smith,Mike,M.,0000-0002-6177-8217,,,,,
OAID-001238,Williams,Corrie Elenor,C. E.,,,,,,
OAID-001239,Tolorza,Violeta,V.,0000-0002-0281-4476,,,,,
OAID-001240,Wilkinson,Clare,C.,0000-0003-1120-2831,57204120476,,,,
OAID-001241,Tian,Jing,J.,,57217417612,,,,
OAID-001242,Quock,Melinda,M.,,,,,,
OAID-001243,Hughes,Alex,A.,0000-0002-4866-1006,57214398292,,,,
OAID-001244,Harkins,Nathan,N.,,8840928200,,,,
OAID-001245,Anderson,William,W.,,,,,,
OAID-001246,Ash,Jeremy,J.,0000-0003-0306-6307,35298571200,K-4574-2015,,,
OAID-001247,Crouch,Joe,J.,,7004865946,,,,
OAID-001248,Brady,Liam,L.,,7202742640,,,,
OAID-001249,Orr,Meredith,M.,,57206451812,,,,
OAID-001250,Skelly,Robert,R.,0000-0002-3578-0604,26868134000,,,,
OAID-001251,Garret-Jones,Samuel Edward,S. E.,,,,,,
OAID-001252,Leclerc,Mathieu,M.,,55078358400,,,,
OAID-001253,Araho,Nick,N.,,26033337100,,,,
OAID-001254,Powell,Jocelyn M.,J. M.,,,,,,
OAID-001255,Sheppard,Peter J.,P. J.,0000-0001-6624-7856,7004414315,,,,
OAID-001256,Czerwinski,P.,P.,,,,,,
OAID-001257,Ames,Christopher J. H.,C. J. H.,0000-0001-8754-2512,55386151400,,,,
OAID-001258,Collins,Benjamin R:,B. R.,0000-0002-2416-3184,55887647200,,,,
OAID-001259,Opperman,H.,H.,,,,,,
OAID-001260,Blackwell,Lucinda R.,L. R.,,,,,,
OAID-001261,McCarthy,Terrence S.,T. S.,,7201694325,,,,
OAID-001262,Scott,Louis,L.,0000-0002-4531-0497,7402406091,,ORCID unconfirmed,,
OAID-001263,Barré,Magali,M.,0000-0002-7241-2587,36824712300,,ORCID unconfirmed,,
OAID-001264,Bader,Gregor Donatus,G. D.,0000-0003-0621-9209,56203892900,,,,
OAID-001265,Burrough,Sallie L.,S. L.,0000-0003-1043-0998,23982019900,,,,
OAID-001266,Chazan,Michael,M.,0000-0003-1236-5368,6602110426,,ORCID unconfirmed,,
OAID-001267,Beaumont,Peter B.,P. B.,,7102929244,,,,
OAID-001268,Chase,Brian M.,B. M.,0000-0001-6987-1291,14062947700,A-1202-2010,,,
OAID-001269,Fuchs,Markus,M.,0000-0003-4669-6528,9044209800,,ORCID unconfirmed,,
OAID-001270,Henderson,Zoë,Z.,,7003781411,,,,
OAID-001271,Högberg,Anders,A.,0000-0002-8747-4131,26537582400,,,,
OAID-001272,Aird,Samantha Jane,S. J.,,57195198231,,,,
OAID-001273,Barron,Aleese,A.,0000-0002-6677-9315,57194283308,,,,
OAID-001274,Demuro,Martina,M.,0000-0002-5799-4216,23492056400,,,,
OAID-001275,Dilkes-Hall,India Ella,I. E.,0000-0002-6487-0043,57188629866,,,,
OAID-001276,GML (Corp.),,,,,,,https://www.gml.com.au,14.02.23
OAID-001277,Jelsma,Johan,J.,,57212855588,,,,
OAID-001278,Jones,Robert,R.,0000-0002-8161-5415,,,,,
OAID-001279,Larsson,Ann-Charlotte,A.-C.,0000-0002-5835-865X,,,,,
OAID-001280,Norman,Kasih,K.,0000-0002-4975-2516,,,,,
OAID-001281,Robertson,Gillian B.,G. B.,,7402368620,,,,
OAID-001282,Shiner,J. S.,J. S.,,,,,,
OAID-001283,Williams,Frances M.,F. M.,,7402532051,,,,
OAID-001284,Grimm,Eric Christopher,E. C.,0000-0002-6977-3859,7103247713,,,,
OAID-001285,Goring,Simon,S.,0000-0002-2700-4605,26323638600,,,,
OAID-001286,Blois,Jessica,J.,0000-0003-4048-177X,15046569200,G-5893-2011,,,
OAID-001287,Williams,John (Jack) Warren,J. W.,,57218985392,,,,
OAID-001288,Giesecke,Thomas,T.,0000-0002-5132-1061,9277468900,,,,
OAID-001289,Smith,Alison,A.,0000-0003-1261-8943,57214307783,,,,
OAID-001290,Strandberg,Nichola Ann,N. A.,0000-0003-1268-2080,57202899930,,,,
OAID-001291,Alexander,Margaret,M.,,,,,,
OAID-001292,Anquetin,Jérémy,J.,0000-0001-5539-8691,22956965900,,,,
OAID-001293,AOU (Corp.) American Ornithologists' Union,,,,,,Merged into AOS together with Cooper Ornithological Society in 2016,https://americanornithology.org,14.02.23
OAID-001294,APD (Corp.) African Plant Database (online),,,,,,,https://africanplantdatabase.ch,14.02.23
OAID-001295,APNI (Corp.) Australian Plant Name Index (online),,,,,,,https://www.anbg.gov.au/apni/,14.02.23
OAID-001296,Barr,Cameron,C.,0000-0003-0436-8702,55621848000,,,,
OAID-001297,Blake,S. T.,S. T.,,,,,,
OAID-001298,Blom,W. M.,W. M.,,,,,,
OAID-001299,Briggs,Barbara G.,B. G.,0000-0001-7304-0773,,,,,
OAID-001300,Cookson,I. C.,I. C.,,,,,,
OAID-001301,Crayn,Darren M.,D. M.,0000-0001-6614-4216,6602470952,A-7386-2011,,,
OAID-001302,Dettmann,Mary E.,M. E.,,6701424654,,,,
OAID-001303,Gontz,,A. M.,0000-0001-7276-1552,24764521300,,,,
OAID-001304,Holman,J. Alan,J. A.,,7102723359,,,,
OAID-001305,Keim,Ary Prihardhyanto,A. P.,,35239954700,,,,
OAID-001306,Kenins,Alex,A.,0000-0002-5288-902X,57200131081,,,,
OAID-001307,Longmore,Mauren E.,M. E.,,6701381903,,,,
OAID-001308,McCarthy,Lynne P.,L. P.,,7102402407,,,,
OAID-001309,McKenzie,K. G.,K. G.,,,,,,
OAID-001310,Meisterfeld,Ralf,R.,,7801613115,,,,
OAID-001311,Milne,Lynne A.,A.,,7005477302,,,,
OAID-001312,Newton,Alfred F.,A. F.,,7201391835,,,,
OAID-001313,Prentice,Michael L.,M. L.,,35611315600,,,,
OAID-001314,Thornhill,Andrew H.,A. H.,0000-0002-0325-5725,39763127700,,,,
OAID-001315,Truswell,Elizabeth M.,E. M.,0000-0003-1848-6961,6604041272,,,,
OAID-001316,Victor,Reginald,R.,,7006215988,,,,
OAID-001317,Carleton,Michael D.,M. D.,,,,,,
OAID-001318,Helgen,Kristofer M.,K. M.,0000-0002-8776-4040,6602538000,,,,
OAID-001319,Hoffmann,Robert S.,R. S.,,36147460300,,,,
OAID-001320,Holden,Mary Ellen,M. E.,,36141517000,,,,
OAID-001321,Patton,James L.,J. L.,,56042267000,,,,
OAID-001322,Musser,Guy G.,G. G.,,8085922200,,,,
OAID-001323,Dieterlen,Fritz,F.,,57213089369,,,,
OAID-001324,Woods,Charles A.,C. A.,,35117403900,,,,
OAID-001325,Gardner,Alfred L.,A. L.,,8044862900,,,,
OAID-001326,Grubb,Peter John,P. J.,,7005533165,,,,
OAID-001327,Hutterer,Rainer,R.,,55965985900,,,,
OAID-001328,Mead,James G.,J. G.,,7201840130,,,,
OAID-001329,Shoshani,Jeheskel,J.,,6602183212,,,,
OAID-001330,Simmons,Nancy B.,N. B.,0000-0001-8807-7499,7103122528,,,,
OAID-001331,Wilson,Don Ellis,D. E.,,55478279100,,,,
OAID-001332,Wozencraft,W. Chris,W. C.,,,,,,
OAID-001333,Bronner,Gary N.,G. N.,,7004567684,,,,
OAID-001334,Groves,Colin P.,C. P.,,7005017145,,,,
OAID-001335,Schlitter,Duane A.,D. A.,,57211220747,,,,
OAID-001336,Thorington,Richard W.,R. W.,,6701618295,,,,
OAID-001337,Campbell,Kenneth E. Jr.,K. E.,,8218892900,,,,
OAID-001338,Chapman,Arthur D.,A. D.,,57194679006,,SCOPUSID unconfirmed,,
OAID-001339,Crother,Brian I.,B. I.,,6602997452,,,,
OAID-001340,Davis,Margaret B.,M. B.,,57206194753,,,,
OAID-001341,Fricke,Ronald,R.,0000-0003-1476-6990,17343229500,,,,
OAID-001342,Gell,Peter,P.,0000-0002-2251-5158,7004028173,,,,
OAID-001343,Gentili,Elio,E.,,6603866955,,,,
OAID-001344,Harden,Gwen J.,G. J.,,,,,,
OAID-001345,Harris,Wayne K.,W. K.,,55780461700,,,,
OAID-001346,IBIS (Corp.) Integrated Biodiversity Information System (online),,,,,,,https://www.anbg.gov.au/ibis/,14.02.23
OAID-001347,ITIS (Corp) Integrated Taxonomic Information System (online),,,,,,,https://www.itis.gov,14.02.23
OAID-001348,Itzstein-Davey,Freea,F.,,22940987300,,,,
OAID-001349,Iverson,John B.,J. B.,,7006168759,,,,
OAID-001350,John,Jacob,J.,,57194845739,,,,
OAID-001351,Keynon,,C. E.,,,,,,
OAID-001352,Lachlan,Terry J.,T. J.,,13004858900,,,,
OAID-001353,Ladd,Philip G.,P. G.,,57217426716,,,,
OAID-001354,Mackenzie,Lydia,L.,0000-0003-4842-3021,56454922700,,,,
OAID-001355,McKenna,Malcom C.,M. C.,,7201629726,,,,
OAID-001356,Mills,Keely,K.,0000-0002-0402-2317,,,,,
OAID-001357,Morales,Eduardo Antonio,E. A.,0000-0001-5998-4831,7102591084,,,,
OAID-001358,Rechinger,Karl Heinz,K. H.,,16484591100,,,,
OAID-001359,Stahle,Laura N.,L. N.,,55832139600,,,,
OAID-001360,Stephens,K.,K.,,,,,,
OAID-001361,Stover,Lewis E.,L. E.,,7004145985,,,,
OAID-001362,Tippery,Nicholas P.,N. P.,0000-0002-9559-2795,6505701624,,,,
OAID-001363,Torgersen,Thomas,T.,,7006098549,,,,
OAID-001364,Uetz,Peter H.,P. H.,0000-0001-6194-4927,6601996667,A-7119-2012,,,
OAID-001365,Worthy,M.,M.,,,,,,
OAID-001366,Stafford,Brian J.,B. J.,,7005758542,,,,
OAID-001367,Howard,Laura,L.,,,,,,
OAID-001368,Heying,Heather,H.,,16316311700,,,,
OAID-001369,Banks,Richard C.,R. C.,,7102144734,,,,
OAID-001370,Peterson,Alan P.,A. P.,,,,,,
OAID-001371,Goodisman,Danny,D.,,,,,,
OAID-001372,McDiarmid,Roy W.,R. W.,,6701745349,,,,
OAID-001373,Ast,Jennifer,J.,0000-0002-8888-3260,6602214257,,,,
OAID-001374,Cholewiak,Danielle,D.,,,,,,
OAID-001375,Pecor,Keith,K.,,,,,,
OAID-001376,ALA (Corp.) Atlas of Living Australia (online),,,,,,,https://www.ala.org.au,14.02.23
OAID-001377,Belbin,Lee,L.,0000-0001-8900-6203,,,,,
OAID-001378,ADW (Corp.) Animal Diversity Web (online),,,,,,,https://animaldiversity.org,14.02.23
OAID-001379,Neotoma (Corp.) Paleoecology Database (online),,,,,,,https://www.neotomadb.org,14.02.23
OAID-001380,GloBi (Corp.) Global Biotic Interactions Index (online),,,,,,,https://www.globalbioticinteractions.org,14.02.23
OAID-001381,Myers,Phil,P.,,9536604400,,,,
OAID-001382,Colburn,Mona L.,M. L.,,7004102720,,,,
OAID-001383,Etnier,Michael A.,M. A.,0000-0002-6546-7854,6506438942,,,,
OAID-001384,DeNeve Weeks,Danaan,D.,,,,,,
OAID-001385,Veres,Matthew H.,M. H.,,,,,,
OAID-001386,Espinosa-Martínez,Deborah V.,D. V.,,56611965900,,,,
OAID-001387,Widga,Christopher C.,C. C.,0000-0002-2961-0078,,,,,
OAID-001388,Stegner,Mary Allison,M. A.,0000-0002-1412-8203,,,ORCID unconfirmed,,
OAID-001389,Domic,Alejandra Iboya,A. I.,0000-0003-0762-3967,24066549300,,,,
OAID-001390,Haaramo,Mikko Kalevi,M. K.,,0000-0003-1842-8585,,,,
OAID-001391,GPFA (Corp.) Great Plains Flora Association,,,,,,,,
OAID-001392,Tropicos (Corp.) database (online),,,,,,,https://www.tropicos.org,14.02.23
OAID-001393,FNA (Corp.) Flora of North America Editorial Committee,,,,,,,http://floranorthamerica.org/Main_Page,14.02.23
OAID-001394,Smith,Charles Hamilton,C. H.,,,,,,
OAID-001395,Scherer,Carolina Saldhana,C. S.,0000-0001-6633-6576,,,,,
OAID-001396,Cajal,Jorge Luis,J. L.,,6505974433,,,,
OAID-001397,Merino,Mariano Lisandro,M. L.,0000-0001-7750-140X,,,,,
OAID-001398,Gasparini,Germán Mariano,G. M.,0000-0003-3883-3529,,,,,
OAID-001399,SPRAT (Corp.) Species Profile and Threats Database (online),,,,,,,http://www.environment.gov.au/cgi-bin/sprat/public/sprat.pl,14.02.23
OAID-001400,AM (Corp.) Australian Museum (online),,,,,,,https://australian.museum,14.02.23
OAID-001401,NSWOEH (Corp) NSW Office of Environment & Heritage (online),,,,,,,https://www.environment.nsw.gov.au,14.02.23
OAID-001402,EOL (Corp.) Encyclopedia of Life (online),,,,,,,https://eol.org,14.02.23
OAID-001403,Menkhorst,Peter,P.,0000-0003-1055-4923,6603615300,,,,
OAID-001404,Gray,Emma L.,E. L.,,56712354100,,,,
OAID-001405,Ng,Jessica,J.,,,,is ADW contributor,,
OAID-001406,Roth,Jason,J.,,,,is ADW contributor,,
OAID-001407,Bhagat,Sheetal,S.,,,,is ADW contributor,,
OAID-001408,Mileski,Adam,A.,,,,is ADW contributor,,
OAID-001409,Reyes,Eduardo,E.,,,,is ADW contributor,,
OAID-001410,Brown,Christine,C.,,,,is ADW contributor,,
OAID-001411,Reavill,Chris,C.,,,,is ADW contributor,,
OAID-001412,Castillo-Ruiz,Alexandra,A.,,,,is ADW contributor,,
OAID-001413,Peterson,Emily,E.,,,,is ADW contributor,,
OAID-001414,Nocon,Wojtek,W.,,,,is ADW contributor,,
OAID-001415,Siciliano Martina,Leila,L.,,,,is ADW contributor,,
OAID-001416,DuVall,Lindsay,L.,,,,is ADW contributor,,
OAID-001417,Cable,Rachel,R.,,,,is ADW contributor,,
OAID-001418,Strassmann,Andrew,A.,,,,is ADW contributor,,
OAID-001419,Schweighoefer,Kristen,K.,,,,is ADW contributor,,
OAID-001420,Landesman,Nathan,N.,,,,is ADW contributor,,
OAID-001421,Langstaff,Lucas,L.,,,,is ADW contributor,,
OAID-001422,DeRubeis,Alyssa,A.,,,,is ADW contributor,,
OAID-001423,Nguyen,Hien,H.,,,,is ADW contributor,,
OAID-001424,Kellner,David,D.,,,,is ADW contributor,,
OAID-001425,Hart,Myha,M.,,,,is ADW contributor,,
OAID-001426,Stalder,Janeen,J.,,,,is ADW contributor,,
OAID-001427,Eckhart,Rodgers,R.,,,,is ADW contributor,,
OAID-001428,Humfleet,Jennifer,J.,,,,is ADW contributor,,
OAID-001429,Dougherty,Laurel,L.,,,,is ADW contributor,,
OAID-001430,Norlin,Molly,M.,,,,is ADW contributor,,
OAID-001431,Szaura,Troy,T.,,,,is ADW contributor,,
OAID-001432,Oser,Courtney,C.,,,,is ADW contributor,,
OAID-001433,Adkins,Jennifer,J.,,,,is ADW contributor,,
OAID-001434,Chedid,Khalil,K.,,,,is ADW contributor,,
OAID-001435,Green,Emily,E.,,,,is ADW contributor,,
OAID-001436,Steward-Malone,Alecia,A.,,,,is ADW contributor,,
OAID-001437,Begnoche,Dana,D.,,,,is ADW contributor,,
OAID-001438,Vu,Alan,A.,,,,is ADW contributor,,
OAID-001439,Cooper,Justin,J.,,,,is ADW contributor,,
OAID-001440,Burian,Jonathan,J.,,,,is ADW contributor,,
OAID-001441,Bonser,Kurt,K.,,,,is ADW contributor,,
OAID-001442,Jewell,Todd,T.,,,,is ADW contributor,,
OAID-001443,Miller,David,D.,,,,is ADW contributor,,
OAID-001444,Joo,Michael S.,M. S.,,,,is ADW contributor,,
OAID-001445,Morningstar,Natalie,N.,,,,is ADW contributor,,
OAID-001446,Detweiler,Erika,E.,,,,is ADW contributor,,
OAID-001447,Brown,Emily,E.,,,,is ADW contributor,,
OAID-001448,Wilke,Casey,C.,,,,is ADW contributor,,
OAID-001449,Loso,Heather,H.,,,,is ADW contributor,,
OAID-001450,Campbell,Gina,G.,,,,is ADW contributor,,
OAID-001451,de la Riva,Angelique,A.,,,,is ADW contributor,,
OAID-001452,Kim,Kenneth,K.,,,,is ADW contributor,,
OAID-001453,Wasleske,Ben,B.,,,,is ADW contributor,,
OAID-001454,Glyshaw,Paul,P.,,,,is ADW contributor,,
OAID-001455,Secord,Ross,R.,,,,is ADW contributor,,
OAID-001456,Dewey,Tanya,T.,,,,is ADW contributor,,
OAID-001457,Nagel,Juliet,J.,,,,is ADW contributor,,
OAID-001458,Goff,Breah,B.,,,,is ADW contributor,,
OAID-001459,Lundrigan,Barbara,B.,,,,is ADW contributor,,
OAID-001460,Null,Jesse,J.,,,,is ADW contributor,,
OAID-001461,Dunham,Cassandra,C.,,,,is ADW contributor,,
OAID-001462,Bachynski,Kathleen,K.,,,,is ADW contributor,,
OAID-001463,Lantz,Morgan,M.,,,,is ADW contributor,,
OAID-001464,Steinle,Allison,A.,,,,is ADW contributor,,
OAID-001465,Stroede,Robert,R.,,,,is ADW contributor,,
OAID-001466,Irwin,Mark,M.,,,,is ADW contributor,,
OAID-001467,Davis,Sarah,S.,,,,is ADW contributor,,
OAID-001468,Tooker,Rachel,R.,,,,is ADW contributor,,
OAID-001469,Berger,Alison,A.,,,,is ADW contributor,,
OAID-001470,King,Janet,J.,,,,is ADW contributor,,
OAID-001471,Ten Pas,Diane,D.,,,,is ADW contributor,,
OAID-001472,Mueller,Rachel,R.,,,,is ADW contributor,,
OAID-001473,Warren,Donna,D.,,,,is ADW contributor,,
OAID-001474,Armitage,David,D.,,,,is ADW contributor,,
OAID-001475,Gillespie,Heather,H.,,,,is ADW contributor,,
OAID-001476,Shefferly,Nancy,N.,,,,is ADW contributor,,
OAID-001477,Gunderson,Dan,D.,,,,is ADW contributor,,
OAID-001478,Fahey,Tanya,T.,,,,is ADW contributor,,
OAID-001479,Lawniczak,Mara Katharine,M. K.,,,,is ADW contributor,,
OAID-001480,Gartmann,Breanne,B.,,,,is ADW contributor,,
OAID-001481,Eby,Alyssa,A.,,,,is ADW contributor,,
OAID-001482,Loay,Yengin,Y.,,,,is ADW contributor,,
OAID-001483,Davis,Adrienne,A.,,,,is ADW contributor,,
OAID-001484,Anan,Waseem,W.,,,,is ADW contributor,,
OAID-001485,Afflerbaugh,Kevin,K.,,,,is ADW contributor,,
OAID-001486,Berkhouse,Hudson,H.,,,,is ADW contributor,,
OAID-001487,Suter,Maureen,M.,,,,is ADW contributor,,
OAID-001488,Bullen,Robert D.,R. D.,,7004002041,,,,
OAID-001489,Animalia (Corp.) Animalia database (online),,,,,,,https://animalia.bio,14.02.23
OAID-001490,Milne,Damian J.,D. J.,0000-0002-9572-2713,7102931882,,,,
OAID-001491,Watts,Christopher H. S.,C. H. S.,,23766428900,,,,
OAID-001492,Begg,Robert J.,R. J.,,7004340815,,,,
OAID-001493,Loveless,Allison Marcella,A. M.,,56997122100,,,,
OAID-001494,McConville,Anna J.,A.,,55783260300,,,,
OAID-001495,Bencici,Roberta,R.,0000-0002-6927-5198,6603382719,,,,
OAID-001496,Broome,L.,L.,,,,,,
OAID-001497,Burbidge,A. A.,A. A.,,7003993513,,,,
OAID-001498,Allison,Louise M.,L. M.,,,,,,
OAID-001499,Drury,Rebecca L.,R. L.,,7004602428,,,,
OAID-001500,Dunlop,Judy A.,J. A.,,56040210900,,,,
OAID-001501,Firth,Ronald S. C.,R. S. C.,,12242076800,,,,
OAID-001502,Gloury,April Maree,A. M.,,,,,,
OAID-001503,Chambers,John,J.,,,,,,
OAID-001504,Rootourism (Corp.) (online),,,,,,,https://www.rootourism.com,14.02.23
OAID-001505,ASDP (Corp.) Alice Springs Desert Park (online),,,,,,,https://alicespringsdesertpark.com.au,14.02.23
OAID-001506,Churchill,Sue,S.,,7103207224,,,,
OAID-001507,Mason,Eugene D.,E. D.,,56712352700,,,,
OAID-001508,"DEPWS (Corp.) NT Gov. Dept. of Environment, Parks and Water Security",,,,,,,https://depws.nt.gov.au,14.02.23
OAID-001509,EPA (Corp.) QLD Gov. Environmental Protection Agency (online),,,,,,,https://environment.des.qld.gov.au,14.02.23
OAID-001510,Latch,Peter,P.,,57204786603,,,,
OAID-001511,Horsup,Alan B.,A.,,6603153216,,,,
OAID-001512,Taylor,J.,J.,,,,,,
OAID-001513,"DBCA (Corp.) WA Gov. Dept. of Biodiversity, Conservation and Attractions (online)",,,,,,,https://www.dbca.wa.gov.au,14.02.23
OAID-001514,Yip,Stephanie J. S.,S. J. S.,,56074492500,,,,
OAID-001515,Moore,Leslie Allan,L. A.,,,,,,
OAID-001516,SRA (Corp.) Sugar Research Australia (online),,,,,,,https://sugarresearch.com.au,14.02.23
OAID-001517,WS (Corp.) World Species (online),,,,,,,https://worldspecies.org,14.02.23
OAID-001518,AI (Corp.) Animal Info & Endangered Animals (online),,,,,,,https://www.animalinfo.org,14.02.23
OAID-001519,AWC (Corp.) Australian Wildlife Conservancy (online),,,,,,,https://www.australianwildlife.org,14.02.23
OAID-001520,"DCCEEW (Corp.) AUS Gov. Dept. of Climate Change, Energy, the Environment and Water (online)",,,,,,,https://www.dcceew.gov.au,14.02.23
OAID-001521,AWRC (Corp.) Australian Wildlife Rehabilitation Conference (online),,,,,,,https://www.awrc.org.au,14.02.23
OAID-001522,BHAUS (Corp.) Bush Heritage Australia (online),,,,,,,https://www.bushheritage.org.au,14.02.23
OAID-001523,QLDGOV (Corp.) QLD Gov. (online),,,,,,,https://www.qld.gov.au,14.02.23
OAID-001524,QLDMUS (Corp.) Queensland Museum Network (online),,,,,,,https://www.museum.qld.gov.au,14.02.23
OAID-001525,Tree Kangaroo (Corp.) Tree-Kangaroo and Mammal Group,,,,,,,https://www.tree-kangaroo.net/,14.02.23
OAID-001526,Zandberg,Jaco Daniel,J. D.,0000-0002-3780-1464,57215647261,,ORCID unconfirmed,,
OAID-001527,Johnson,C. N.,C. N.,,,,,,
OAID-001528,Pavey,Chris R.,C. R.,0000-0003-2162-8019,,,,,
OAID-001529,Pearce,Coral,C.,0000-0001-8412-6011,57197816397,,ORCID unconfirmed,,
OAID-001530,Smith,Geoffrey C.,G. C.,,,,,,
OAID-001531,Thums,Michele,M.,0000-0002-8669-8440,8361775600,A-3850-2013,,,
OAID-001532,Vickers-Rich,Patricia,P.,0000-0003-1850-8067,,,ORCID unconfirmed,,
OAID-001533,Watson,M. L.,M. L.,,,,,,
OAID-001534,Webala,Paul W.,P. W.,0000-0003-0576-8935,,,,,
OAID-001535,Arnold,Lee J.,L. J.,0000-0001-9603-3824,14319057700,,,,
OAID-001536,Bostock,Helen C.,H. C.,0000-0002-8903-8958,12795777100,A-6834-2013,,,
OAID-001537,Oliver,Thomas S. N.,T. S. N.,0000-0001-9221-9613,55239935500,,,,
OAID-001538,Boyd,Ronald L.,R. L.,0000-0002-2374-7567,7401728346,,,,
OAID-001539,Brill,Dominik,D.,0000-0001-8637-4641,7005023469,,,,
OAID-001540,Brooke,Brendan P.,B. P.,0000-0002-0185-568X,7006298182,,,,
OAID-001541,Camens,Aaron B.,A. B.,0000-0003-0464-0665,,,,,
OAID-001542,Carvalho,Rafael C.,R. C.,0000-0003-0790-5614,55638007800,,,,
OAID-001543,Chivas,Allan R.,A. R.,0000-0002-1459-6330,54790530100,,,,
OAID-001544,Dillenburg,Sergio R.,S. R.,0000-0003-0072-7018,6506023650,,,,
OAID-001545,Ellerton,Daniel T.,D. T.,0000-0003-1998-1817,57194711354,,,,
OAID-001546,Forsyth,Anthony J.,A. J.,,7006863049,,,,
OAID-001547,Goodwin,Ian D.,I. D.,0000-0001-8682-6409,24450244500,,,,
OAID-001548,Huntley,David J.,D. J.,,7101900869,,,,
OAID-001549,Kennedy,David M.,D. M.,0000-0002-4878-7717,7403112489,,,,
OAID-001550,Köhler,Martin,M.,0000-0003-1440-3700,,,,,
OAID-001551,Lewis,Stephen E.,S. E.,0000-0002-6929-6626,16039707700,,,,
OAID-001552,May,Simon Matthias,S. M,0000-0001-6762-7500,23983110200,,,,
OAID-001553,McBride,Randolph A.,R. A.,0000-0002-2440-112X,,,,,
OAID-001554,Patton,Nicholas R.,N. R.,0000-0002-4137-0636,,,,,
OAID-001555,Spiske,Michaela,M.,0000-0001-6785-2185,,,,,
OAID-001556,Switzer,Adam D.,A. D.,0000-0002-4352-7852,10738884500,,,,
OAID-001557,Tamura,Toru,T.,0000-0003-2027-233X,35365371800,B-5869-2011,,,
OAID-001558,Yoshida,Hiroyuki,H.,,7408717916,,,,
OAID-001559,Jacobs,Zenobia,Z.,0000-0001-5424-5837,23392343600,,,,
OAID-001560,Nicoll,Kathleen,K.,0000-0002-6971-9713,6601918973,,,,
